from_code,from_label,to_code,to_label,pixel_count,area_ha
5,Crops,5,Crops,553595,199294.2
11,Rangeland,11,Rangeland,409307,147350.52
2,Trees,2,Trees,229969,82788.84
11,Rangeland,5,Crops,131542,47355.12
2,Trees,11,Rangeland,107746,38788.56
7,Built,7,Built,42662,15358.32
1,Water,1,Water,42298,15227.28
2,Trees,5,Crops,30969,11148.84
5,Crops,11,Rangeland,19710,7095.6
5,Crops,7,Built,11176,4023.36
11,Rangeland,2,Trees,9427,3393.72
11,Rangeland,7,Built,6744,2427.84
7,Built,5,Crops,4137,1489.32
5,Crops,1,Water,2526,909.36
5,Crops,2,Trees,2469,888.84
1,Water,11,Rangeland,2420,871.2
11,Rangeland,1,Water,2195,790.2
1,Water,5,Crops,2094,753.84
2,Trees,7,Built,1367,492.12
4,Flooded vegetation,4,Flooded vegetation,627,225.72
7,Built,11,Rangeland,594,213.84
1,Water,4,Flooded vegetation,566,203.76
4,Flooded vegetation,1,Water,484,174.24
2,Trees,1,Water,411,147.96
8,Bare,8,Bare,391,140.76
4,Flooded vegetation,5,Crops,276,99.36
8,Bare,11,Rangeland,246,88.56
4,Flooded vegetation,11,Rangeland,244,87.84
1,Water,2,Trees,164,59.04
7,Built,2,Trees,158,56.88
1,Water,7,Built,157,56.52
8,Bare,5,Crops,119,42.84
7,Built,1,Water,113,40.68
11,Rangeland,4,Flooded vegetation,108,38.88
1,Water,8,Bare,74,26.64
11,Rangeland,8,Bare,61,21.96
8,Bare,1,Water,42,15.12
8,Bare,2,Trees,13,4.68
2,Trees,4,Flooded vegetation,6,2.16
5,Crops,4,Flooded vegetation,6,2.16
2,Trees,8,Bare,4,1.44
8,Bare,7,Built,4,1.44
4,Flooded vegetation,2,Trees,4,1.44
5,Crops,8,Bare,2,0.72
7,Built,8,Bare,2,0.72
