from_code,from_label,to_code,to_label,pixel_count,area_ha
5,Crops,5,Crops,294161,105897.96
7,Built,7,Built,34409,12387.24
1,Water,1,Water,27304,9829.44
2,Trees,2,Trees,19303,6949.08
2,Trees,7,Built,17869,6432.84
11,Rangeland,11,Rangeland,11077,3987.72
5,Crops,1,Water,10686,3846.96
5,Crops,7,Built,8758,3152.88
5,Crops,11,Rangeland,8526,3069.36
2,Trees,5,Crops,6207,2234.52
8,Bare,8,Bare,2956,1064.16
11,Rangeland,5,Crops,2630,946.8
5,Crops,4,Flooded vegetation,1755,631.8
2,Trees,11,Rangeland,1504,541.44
11,Rangeland,7,Built,1422,511.92
8,Bare,1,Water,1406,506.16
1,Water,5,Crops,1392,501.12
5,Crops,2,Trees,1342,483.12
4,Flooded vegetation,4,Flooded vegetation,1278,460.08
8,Bare,11,Rangeland,987,355.32
1,Water,11,Rangeland,878,316.08
7,Built,5,Crops,804,289.44
11,Rangeland,2,Trees,749,269.64
1,Water,8,Bare,706,254.16
1,Water,4,Flooded vegetation,688,247.68
7,Built,11,Rangeland,683,245.88
11,Rangeland,1,Water,680,244.8
4,Flooded vegetation,1,Water,452,162.72
11,Rangeland,4,Flooded vegetation,451,162.36
2,Trees,1,Water,426,153.36
1,Water,7,Built,331,119.16
4,Flooded vegetation,11,Rangeland,308,110.88
7,Built,2,Trees,291,104.76
4,Flooded vegetation,5,Crops,291,104.76
1,Water,2,Trees,256,92.16
2,Trees,4,Flooded vegetation,246,88.56
8,Bare,5,Crops,193,69.48
7,Built,1,Water,98,35.28
4,Flooded vegetation,7,Built,82,29.52
11,Rangeland,8,Bare,75,27.0
8,Bare,7,Built,59,21.24
8,Bare,2,Trees,37,13.32
4,Flooded vegetation,2,Trees,34,12.24
5,Crops,8,Bare,24,8.64
7,Built,4,Flooded vegetation,18,6.48
7,Built,8,Bare,17,6.12
8,Bare,4,Flooded vegetation,16,5.76
4,Flooded vegetation,8,Bare,10,3.6
2,Trees,8,Bare,3,1.08
