from_code,from_label,to_code,to_label,pixel_count,area_ha
2,Trees,2,Trees,1449851,521946.36
11,Rangeland,11,Rangeland,287938,103657.68
2,Trees,11,Rangeland,191429,68914.44
5,Crops,5,Crops,135708,48854.88
11,Rangeland,2,Trees,66769,24036.84
11,Rangeland,5,Crops,30622,11023.92
7,Built,7,Built,24252,8730.72
5,Crops,11,Rangeland,18979,6832.44
2,Trees,5,Crops,11460,4125.6
11,Rangeland,7,Built,4682,1685.52
5,Crops,7,Built,4275,1539.0
1,Water,1,Water,3848,1385.28
7,Built,11,Rangeland,3288,1183.68
2,Trees,7,Built,3186,1146.96
7,Built,5,Crops,2578,928.08
5,Crops,2,Trees,2210,795.6
2,Trees,1,Water,634,228.24
11,Rangeland,1,Water,601,216.36
1,Water,11,Rangeland,477,171.72
7,Built,2,Trees,452,162.72
5,Crops,1,Water,225,81.0
1,Water,2,Trees,164,59.04
1,Water,5,Crops,149,53.64
8,Bare,8,Bare,23,8.28
8,Bare,11,Rangeland,17,6.12
8,Bare,1,Water,15,5.4
7,Built,1,Water,12,4.32
1,Water,8,Bare,6,2.16
1,Water,7,Built,4,1.44
11,Rangeland,8,Bare,4,1.44
8,Bare,5,Crops,3,1.08
8,Bare,2,Trees,2,0.72
