from_code,from_label,to_code,to_label,pixel_count,area_ha
5,Crops,5,Crops,457224,164600.64
1,Water,1,Water,229839,82742.04
2,Trees,2,Trees,75363,27130.68
7,Built,7,Built,37159,13377.24
2,Trees,7,Built,23249,8369.64
1,Water,4,Flooded vegetation,18238,6565.68
11,Rangeland,11,Rangeland,18078,6508.08
2,Trees,5,Crops,17599,6335.64
4,Flooded vegetation,4,Flooded vegetation,17423,6272.28
5,Crops,11,Rangeland,12655,4555.8
5,Crops,7,Built,12599,4535.64
5,Crops,1,Water,9135,3288.6
2,Trees,11,Rangeland,7232,2603.52
1,Water,5,Crops,3594,1293.84
11,Rangeland,5,Crops,3555,1279.8
4,Flooded vegetation,11,Rangeland,3553,1279.08
5,Crops,2,Trees,3420,1231.2
11,Rangeland,2,Trees,3337,1201.32
1,Water,11,Rangeland,3218,1158.48
4,Flooded vegetation,1,Water,2987,1075.32
7,Built,5,Crops,2068,744.48
11,Rangeland,1,Water,1278,460.08
4,Flooded vegetation,5,Crops,1271,457.56
2,Trees,1,Water,1093,393.48
5,Crops,4,Flooded vegetation,881,317.16
8,Bare,11,Rangeland,670,241.2
1,Water,7,Built,657,236.52
11,Rangeland,7,Built,597,214.92
1,Water,8,Bare,532,191.52
11,Rangeland,4,Flooded vegetation,529,190.44
8,Bare,8,Bare,523,188.28
1,Water,2,Trees,475,171.0
2,Trees,4,Flooded vegetation,475,171.0
7,Built,2,Trees,426,153.36
4,Flooded vegetation,2,Trees,339,122.04
7,Built,1,Water,299,107.64
8,Bare,1,Water,286,102.96
8,Bare,2,Trees,255,91.8
7,Built,11,Rangeland,251,90.36
11,Rangeland,8,Bare,58,20.88
8,Bare,4,Flooded vegetation,38,13.68
8,Bare,5,Crops,30,10.8
8,Bare,7,Built,23,8.28
4,Flooded vegetation,7,Built,15,5.4
5,Crops,8,Bare,12,4.32
7,Built,4,Flooded vegetation,6,2.16
