from_code,from_label,to_code,to_label,pixel_count,area_ha
2,Trees,2,Trees,810313,291712.68
11,Rangeland,11,Rangeland,456417,164310.12
2,Trees,11,Rangeland,299213,107716.68
5,Crops,5,Crops,263031,94691.16
11,Rangeland,2,Trees,76046,27376.56
5,Crops,11,Rangeland,51473,18530.28
2,Trees,5,Crops,26708,9614.88
11,Rangeland,5,Crops,19715,7097.4
7,Built,7,Built,16170,5821.2
1,Water,1,Water,8184,2946.24
5,Crops,2,Trees,7852,2826.72
5,Crops,7,Built,4635,1668.6
1,Water,11,Rangeland,2483,893.88
7,Built,11,Rangeland,1925,693.0
11,Rangeland,7,Built,1911,687.96
7,Built,5,Crops,1658,596.88
2,Trees,7,Built,1431,515.16
11,Rangeland,1,Water,1324,476.64
5,Crops,1,Water,854,307.44
1,Water,5,Crops,843,303.48
2,Trees,1,Water,818,294.48
1,Water,2,Trees,526,189.36
8,Bare,1,Water,452,162.72
8,Bare,11,Rangeland,426,153.36
7,Built,2,Trees,344,123.84
1,Water,8,Bare,250,90.0
8,Bare,8,Bare,229,82.44
4,Flooded vegetation,11,Rangeland,122,43.92
8,Bare,5,Crops,83,29.88
11,Rangeland,8,Bare,80,28.8
4,Flooded vegetation,4,Flooded vegetation,54,19.44
11,Rangeland,4,Flooded vegetation,41,14.76
1,Water,7,Built,37,13.32
1,Water,4,Flooded vegetation,35,12.6
7,Built,1,Water,34,12.24
8,Bare,2,Trees,15,5.4
4,Flooded vegetation,1,Water,14,5.04
5,Crops,8,Bare,4,1.44
4,Flooded vegetation,2,Trees,4,1.44
2,Trees,4,Flooded vegetation,3,1.08
8,Bare,7,Built,3,1.08
2,Trees,8,Bare,2,0.72
4,Flooded vegetation,7,Built,1,0.36
7,Built,8,Bare,1,0.36
